City,State,SizeRank,Date,Sell_Price
New York,NY,1,2008-03-01,NA
Los Angeles-Long Beach-Anaheim,CA,2,2008-03-01,470900
Dallas-Fort Worth,TX,4,2008-03-01,146000
Houston,TX,6,2008-03-01,145900
Miami-Fort Lauderdale,FL,8,2008-03-01,253500
San Francisco,CA,11,2008-03-01,566900
Riverside,CA,12,2008-03-01,302800
Phoenix,AZ,13,2008-03-01,222400
San Diego,CA,16,2008-03-01,402100
Tampa,FL,18,2008-03-01,176800
Charlotte,NC,23,2008-03-01,154800
Sacramento,CA,24,2008-03-01,287500
San Antonio,TX,25,2008-03-01,140300
Orlando,FL,26,2008-03-01,220500
San Jose,CA,33,2008-03-01,679100
Austin,TX,34,2008-03-01,185400
Jacksonville,FL,39,2008-03-01,192600
Buffalo,NY,46,2008-03-01,NA
Raleigh,NC,47,2008-03-01,176100
Rochester,NY,50,2008-03-01,NA
Tucson,AZ,52,2008-03-01,205600
Fresno,CA,55,2008-03-01,241800
Albany,NY,59,2008-03-01,183500
Bakersfield,CA,62,2008-03-01,213200
Ventura,CA,65,2008-03-01,474500
El Paso,TX,67,2008-03-01,NA
Greensboro,NC,71,2008-03-01,129100
North Port-Sarasota-Bradenton,FL,73,2008-03-01,227000
Stockton,CA,75,2008-03-01,NA
Syracuse,NY,77,2008-03-01,110500
Winston-Salem,NC,79,2008-03-01,124700
Fort Myers,FL,82,2008-03-01,207900
Lakeland,FL,86,2008-03-01,154500
Daytona Beach,FL,88,2008-03-01,173900
Melbourne,FL,95,2008-03-01,168400
Modesto,CA,100,2008-03-01,239200
Durham,NC,102,2008-03-01,188500
Santa Rosa,CA,103,2008-03-01,453200
Pensacola,FL,108,2008-03-01,145900
Visalia,CA,109,2008-03-01,196100
Asheville,NC,114,2008-03-01,NA
Port St. Lucie,FL,115,2008-03-01,179800
Santa Maria-Santa Barbara,CA,116,2008-03-01,415200
Salinas,CA,119,2008-03-01,NA
Vallejo,CA,120,2008-03-01,332600
Killeen,TX,123,2008-03-01,112800
Tallahassee,FL,133,2008-03-01,184100
Fayetteville,NC,135,2008-03-01,NA
Hickory,NC,136,2008-03-01,121800
Ocala,FL,142,2008-03-01,148200
Naples,FL,144,2008-03-01,326700
Utica,NY,153,2008-03-01,96300
San Luis Obispo,CA,160,2008-03-01,482100
Gainesville,FL,161,2008-03-01,174200
Santa Cruz,CA,162,2008-03-01,608700
Merced,CA,165,2008-03-01,NA
Wilmington,NC,166,2008-03-01,217500
Waco,TX,169,2008-03-01,NA
Amarillo,TX,171,2008-03-01,118800
Binghamton,NY,172,2008-03-01,NA
Crestview-Fort Walton Beach-Destin,FL,177,2008-03-01,232900
Chico,CA,184,2008-03-01,253800
Prescott,AZ,188,2008-03-01,261700
Tyler,TX,190,2008-03-01,NA
Lake Havasu City,AZ,198,2008-03-01,193600
Yuma,AZ,203,2008-03-01,177400
Panama City,FL,211,2008-03-01,204500
Kingston,NY,212,2008-03-01,NA
Redding,CA,217,2008-03-01,241700
El Centro,CA,219,2008-03-01,NA
Greenville,NC,223,2008-03-01,136000
Yuba City,CA,226,2008-03-01,224300
Abilene,TX,227,2008-03-01,NA
Punta Gorda,FL,233,2008-03-01,164700
Hanford,CA,246,2008-03-01,200600
Rocky Mount,NC,248,2008-03-01,NA
Burlington,NC,250,2008-03-01,128100
Madera,CA,251,2008-03-01,NA
Midland,TX,262,2008-03-01,NA
Homosassa Springs,FL,263,2008-03-01,142000
Vero Beach,FL,267,2008-03-01,173200
Odessa,TX,268,2008-03-01,NA
Napa,CA,269,2008-03-01,489100
Eureka,CA,271,2008-03-01,297700
Flagstaff,AZ,273,2008-03-01,329300
Sierra Vista,AZ,278,2008-03-01,181100
Glens Falls,NY,281,2008-03-01,161600
New Bern,NC,285,2008-03-01,156200
Goldsboro,NC,290,2008-03-01,NA
Sherman,TX,294,2008-03-01,NA
Watertown,NY,300,2008-03-01,128200
