City,State,SizeRank,Date,House_Value
New York,NY,1,2008-01-01,463802
Los Angeles-Long Beach-Anaheim,CA,2,2008-01-01,560409
Dallas-Fort Worth,TX,4,2008-01-01,157912
Houston,TX,6,2008-01-01,156166
Miami-Fort Lauderdale,FL,8,2008-01-01,289930
San Francisco,CA,11,2008-01-01,704051
Riverside,CA,13,2008-01-01,346300
Phoenix,AZ,14,2008-01-01,252641
San Diego,CA,17,2008-01-01,489653
Tampa,FL,19,2008-01-01,205999
Charlotte,NC,24,2008-01-01,182928
Sacramento,CA,25,2008-01-01,353839
San Antonio,TX,26,2008-01-01,149322
Orlando,FL,27,2008-01-01,246163
San Jose,CA,34,2008-01-01,709684
Austin,TX,35,2008-01-01,219228
Jacksonville,FL,40,2008-01-01,218093
Buffalo,NY,47,2008-01-01,122778
Raleigh,NC,48,2008-01-01,227209
Rochester,NY,51,2008-01-01,129955
Tucson,AZ,53,2008-01-01,232819
Fresno,CA,56,2008-01-01,265524
Albany,NY,60,2008-01-01,198477
Bakersfield,CA,63,2008-01-01,249033
Ventura,CA,66,2008-01-01,544173
El Paso,TX,68,2008-01-01,133782
McAllen,TX,71,2008-01-01,82113
Greensboro,NC,73,2008-01-01,140600
North Port-Sarasota-Bradenton,FL,75,2008-01-01,253479
Stockton,CA,77,2008-01-01,279242
Syracuse,NY,79,2008-01-01,126673
Winston-Salem,NC,81,2008-01-01,140701
Fort Myers,FL,84,2008-01-01,251341
Lakeland,FL,88,2008-01-01,184900
Daytona Beach,FL,90,2008-01-01,209606
Melbourne,FL,97,2008-01-01,203306
Modesto,CA,102,2008-01-01,NA
Durham,NC,104,2008-01-01,213022
Santa Rosa,CA,105,2008-01-01,540661
Pensacola,FL,110,2008-01-01,171422
Visalia,CA,111,2008-01-01,217441
Corpus Christi,TX,115,2008-01-01,131650
Asheville,NC,118,2008-01-01,219388
Port St. Lucie,FL,119,2008-01-01,213134
Santa Maria-Santa Barbara,CA,120,2008-01-01,621227
Salinas,CA,123,2008-01-01,521211
Vallejo,CA,124,2008-01-01,375700
Brownsville,TX,127,2008-01-01,105201
Killeen,TX,128,2008-01-01,128813
Beaumont,TX,130,2008-01-01,95606
Tallahassee,FL,140,2008-01-01,186009
Fayetteville,NC,142,2008-01-01,127933
Hickory,NC,143,2008-01-01,126789
Ocala,FL,149,2008-01-01,174581
Naples,FL,151,2008-01-01,351680
Utica,NY,160,2008-01-01,110997
Lubbock,TX,163,2008-01-01,109007
San Luis Obispo,CA,169,2008-01-01,546482
Gainesville,FL,170,2008-01-01,201693
Santa Cruz,CA,171,2008-01-01,708196
Merced,CA,174,2008-01-01,243322
Wilmington,NC,175,2008-01-01,253155
Waco,TX,178,2008-01-01,118644
Amarillo,TX,180,2008-01-01,118081
Binghamton,NY,181,2008-01-01,115811
Laredo,TX,184,2008-01-01,141612
Crestview-Fort Walton Beach-Destin,FL,187,2008-01-01,261382
College Station,TX,192,2008-01-01,137961
Chico,CA,196,2008-01-01,284682
Longview,TX,200,2008-01-01,104460
Prescott,AZ,202,2008-01-01,289948
Tyler,TX,204,2008-01-01,130568
Lake Havasu City,AZ,213,2008-01-01,239817
Yuma,AZ,218,2008-01-01,195836
Panama City,FL,226,2008-01-01,226133
Kingston,NY,227,2008-01-01,263401
Jacksonville,NC,232,2008-01-01,156645
Redding,CA,233,2008-01-01,220258
El Centro,CA,236,2008-01-01,205595
Greenville,NC,241,2008-01-01,138416
Yuba City,CA,244,2008-01-01,233942
Abilene,TX,245,2008-01-01,102222
Punta Gorda,FL,251,2008-01-01,168909
Hanford,CA,266,2008-01-01,219162
Rocky Mount,NC,268,2008-01-01,103163
Wichita Falls,TX,270,2008-01-01,91472
Burlington,NC,271,2008-01-01,NA
Madera,CA,272,2008-01-01,203274
Texarkana,TX,275,2008-01-01,79357
Midland,TX,288,2008-01-01,159145
Homosassa Springs,FL,289,2008-01-01,166124
Vero Beach,FL,295,2008-01-01,210594
Odessa,TX,296,2008-01-01,105802
Napa,CA,297,2008-01-01,516374
Jamestown,NY,300,2008-01-01,81366
Eureka,CA,301,2008-01-01,278479
Flagstaff,AZ,303,2008-01-01,350722
Lumberton,NC,304,2008-01-01,NA
Sierra Vista,AZ,309,2008-01-01,NA
Glens Falls,NY,315,2008-01-01,171183
New Bern,NC,319,2008-01-01,165952
Goldsboro,NC,327,2008-01-01,117437
Sherman,TX,331,2008-01-01,107278
Watertown,NY,337,2008-01-01,117561
Dunn,NC,343,2008-01-01,161268
Ogdensburg,NY,348,2008-01-01,85594
San Angelo,TX,349,2008-01-01,NA
Show Low,AZ,362,2008-01-01,198213
Ithaca,NY,373,2008-01-01,174824
Corning,NY,381,2008-01-01,97182
Sebring,FL,382,2008-01-01,137648
Truckee,CA,383,2008-01-01,462057
Shelby,NC,386,2008-01-01,101590
The Villages,FL,398,2008-01-01,226310
Elmira,NY,413,2008-01-01,86085
Pinehurst-Southern Pines,NC,416,2008-01-01,205993
Ukiah,CA,417,2008-01-01,363574
Lufkin,TX,419,2008-01-01,79340
Huntsville,TX,432,2008-01-01,113977
Plattsburgh,NY,433,2008-01-01,158457
Wilson,NC,439,2008-01-01,114406
Olean,NY,441,2008-01-01,106572
Auburn,NY,442,2008-01-01,129291
Athens,TX,444,2008-01-01,105268
Roanoke Rapids,NC,456,2008-01-01,71874
Palatka,FL,462,2008-01-01,103409
Mount Airy,NC,464,2008-01-01,110692
Key West,FL,466,2008-01-01,NA
North Wilkesboro,NC,480,2008-01-01,121943
Forest City,NC,484,2008-01-01,107398
Lake City,FL,485,2008-01-01,131179
Morehead City,NC,490,2008-01-01,289068
Marshall,TX,494,2008-01-01,101451
Clearlake,CA,499,2008-01-01,199665
Nacogdoches,TX,500,2008-01-01,111645
Elizabeth City,NC,503,2008-01-01,184479
Red Bluff,CA,506,2008-01-01,232692
Hudson,NY,507,2008-01-01,217436
Oneonta,NY,512,2008-01-01,127744
Rio Grande City,TX,520,2008-01-01,54658
Albemarle,NC,525,2008-01-01,129434
Batavia,NY,530,2008-01-01,119755
Oxford,NC,531,2008-01-01,162268
Kinston,NC,535,2008-01-01,84833
Palestine,TX,537,2008-01-01,80974
Sanford,NC,541,2008-01-01,131841
Gloversville,NY,547,2008-01-01,107801
Sonora,CA,548,2008-01-01,NA
Eagle Pass,TX,557,2008-01-01,87394
Payson,AZ,559,2008-01-01,208519
Malone,NY,577,2008-01-01,87915
Boone,NC,582,2008-01-01,273363
Jacksonville,TX,584,2008-01-01,89044
Amsterdam,NY,589,2008-01-01,100686
Paris,TX,591,2008-01-01,74734
Kerrville,TX,592,2008-01-01,167193
Cortland,NY,595,2008-01-01,107951
Del Rio,TX,597,2008-01-01,92259
Washington,NC,600,2008-01-01,142482
Corsicana,TX,601,2008-01-01,77106
Nogales,AZ,608,2008-01-01,144401
Rockingham,NC,619,2008-01-01,64828
Henderson,NC,634,2008-01-01,80942
Marion,NC,640,2008-01-01,NA
El Campo,TX,675,2008-01-01,106507
Alice,TX,680,2008-01-01,102629
Cullowhee,NC,686,2008-01-01,242104
Okeechobee,FL,692,2008-01-01,142811
Clewiston,FL,700,2008-01-01,125980
Gainesville,TX,712,2008-01-01,125387
Kill Devil Hills,NC,714,2008-01-01,417570
Brownwood,TX,716,2008-01-01,78377
Stephenville,TX,717,2008-01-01,112377
Safford,AZ,724,2008-01-01,149584
Bay City,TX,737,2008-01-01,97413
Plainview,TX,746,2008-01-01,61966
Big Spring,TX,747,2008-01-01,57544
Laurinburg,NC,748,2008-01-01,73632
Seneca Falls,NY,755,2008-01-01,101769
Susanville,CA,757,2008-01-01,152774
Arcadia,FL,759,2008-01-01,128306
Brenham,TX,769,2008-01-01,148344
Brevard,NC,773,2008-01-01,205480
Kingsville,TX,781,2008-01-01,75893
Mount Pleasant,TX,783,2008-01-01,100068
Beeville,TX,788,2008-01-01,75160
Crescent City,CA,815,2008-01-01,183365
Mineral Wells,TX,820,2008-01-01,92347
Wauchula,FL,824,2008-01-01,102032
Uvalde,TX,833,2008-01-01,83429
Fredericksburg,TX,849,2008-01-01,214659
