Region Name,Date,Rental_Vacancy_Percentage
AZ,2/1/2006,9.3
CA,2/1/2006,5.8
FL,2/1/2006,10.7
NY,2/1/2006,5.8
NC,2/1/2006,11.7
TX,2/1/2006,13.5
AZ,2/1/2007,9.6
CA,2/1/2007,6.1
FL,2/1/2007,13.7
NY,2/1/2007,6.1
NC,2/1/2007,12.4
TX,2/1/2007,13.8
AZ,2/1/2008,14.1
CA,2/1/2008,6.4
FL,2/1/2008,16.9
NY,2/1/2008,5.7
NC,2/1/2008,12.8
TX,2/1/2008,12.3
AZ,2/1/2009,17.7
CA,2/1/2009,7.6
FL,2/1/2009,17.8
NY,2/1/2009,5.7
NC,2/1/2009,12.8
TX,2/1/2009,13
AZ, 2/1/2010,14.9
CA, 2/1/2010,7.5
FL, 2/1/2010,15.1
NY, 2/1/2010,6.8
NC, 2/1/2010,12
TX, 2/1/2010,13.3
