Item_MRP,Item_Weight,Item_Outlet_Sales
249.8092,9.3,3735.138
48.2692,5.92,443.4228
141.618,17.5,2097.27
182.095,19.2,732.38
53.8614,8.93,994.7052
51.4008,10.395,556.6088
57.6588,13.65,343.5528
107.76220000000001,NA,4022.7636
96.9726,16.2,1076.5986
187.8214,19.2,4710.535
45.5402,11.8,1516.0266
144.1102,18.5,2187.153
145.4786,15.1,1589.2646
119.6782,17.6,2145.2076
196.4426,16.35,1977.426
56.3614,9,1547.3192
115.3492,11.8,1621.8888
54.3614,9,718.3982
113.2834,NA,2303.668
230.5352,13.35,2748.4224
250.8724,18.85,3775.086
144.5444,NA,4064.0432
196.5084,14.6,1587.2672
107.6938,NA,214.3876
165.021,13.85,4078.025
45.906,13,838.908
42.3112,7.645,1065.28
39.1164,11.65,308.9312
45.5086,5.925,178.4344
43.6454,NA,125.8362
55.7956,19.25,163.7868
96.4436,18.6,2741.7644
256.6672,18.7,3068.0064
93.1436,17.85,2174.5028
174.8738,17.5,2085.2856
146.7102,10,3791.0652
128.0678,NA,2797.6916
122.5388,8.85,1609.9044
36.9874,NA,388.1614
87.6198,NA,2180.495
230.6352,13.35,3435.528
126.002,9.8,2150.534
192.9136,13.6,2527.3768
259.9278,21.35,6768.5228
126.5046,12.15,373.5138
178.1002,6.42,358.2004
153.3024,19.6,2428.8384
265.2226,10,5815.0972
60.622,15.85,2576.646
196.8794,NA,780.3176
143.8812,7.39,3134.5864
141.5154,10.195,850.8924
117.0492,9.895,810.9444
196.3794,10.895,3121.2704
151.4708,12.15,4815.0656
249.0408,7.905,6258.52
106.1622,9.195,2117.244
38.0506,8.365,796.9626
194.511,15.1,4910.275
180.0344,NA,892.172
246.9144,10,3185.1872
87.3514,7.97,1062.6168
38.2848,NA,484.7024
51.0692,NA,147.8076
255.8356,NA,2543.356
185.4266,17.7,184.4266
172.5738,19.35,4865.6664
186.024,13.65,1118.544
164.8526,17.6,2302.3364
95.841,8.645,2027.361
170.1764,15.6,3435.528
59.222,15.85,599.22
164.7526,18.25,4604.6728
189.6188,7.855,2285.0256
254.3698,7.825,5580.7356
114.0176,8.39,2290.352
172.3422,12.85,1207.0954
89.9804,NA,643.1628
104.9622,19,1587.933
222.5456,5.905,5305.0944
101.87,7.76,1697.79
180.3344,11.8,1427.4752
187.9556,16.75,4693.89
194.6136,NA,583.2408
171.3764,NA,3091.9752
177.0028,15.5,2479.4392
160.992,6.055,2716.464
155.963,NA,3285.723
95.6436,6.305,661.8052
117.2808,20.85,1523.3504
122.173,20.75,369.519
39.9138,8.895,690.4346
55.1614,19.6,1381.535
57.893,19.7,622.523
114.5492,9.8,1274.3412
120.0414,NA,487.3656
246.046,12.15,1231.73
187.4556,8.75,3755.112
149.9708,NA,4363.6532
187.8556,8.75,1314.2892
151.0708,13.3,1805.6496
178.5344,NA,2854.9504
179.1028,8.31,3896.2616
38.7822,16.75,667.7974
212.0902,19.75,3185.853
141.1838,17.1,2247.7408
163.121,10.5,1794.331
121.3098,6.635,2530.7058
225.372,NA,679.116
41.4138,14.15,812.276
232.53,13.3,699.09
102.4016,8.89,2732.4432
176.937,NA,176.437
121.7098,NA,4097.3332
173.2054,9.1,3151.8972
239.0906,7.5,5942.265
192.4478,16.85,4843.695
109.0228,7.485,2542.0244
140.3154,11.6,2552.6772
227.0694,11.65,1141.847
47.5034,13,680.4476
159.0578,12.65,2085.9514
92.512,20.25,186.424
190.153,8.6,3036.048
62.7194,12.6,866.8716
